                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.4446,                  14.11,                 4.8745,                      0,                      0,                      0,                      0,                 2.7495,                 16.824,                 2.7737,              6.668e-05,              6.668e-05,              6.668e-05
                      1,                 4.3689,                 9.5685,                 4.4572,                      0,                      0,                      0,                      0,                 2.7491,                 16.824,                 2.7745,             0.00014854,             0.00014854,             0.00014854
                      2,                 4.2905,                 8.2128,                 4.4852,                  6e-05,                0.03333,                  3e-05,                  1e-05,                   2.75,                 16.827,                 2.7751,             0.00022876,             0.00022876,             0.00022876
                      3,                 4.1136,                 10.072,                 4.4424,                  9e-05,                   0.05,                  5e-05,                  1e-05,                 2.7519,                 16.831,                  2.776,             0.00030732,             0.00030732,             0.00030732
                      4,                 4.2262,                 8.1131,                 4.3145,                  9e-05,                   0.05,                  5e-05,                  1e-05,                 2.7539,                 16.842,                 2.7773,             0.00038424,             0.00038424,             0.00038424
                      5,                 3.8993,                 8.3193,                  4.207,                  6e-05,                0.03333,                  3e-05,                  1e-05,                 2.7559,                 16.846,                 2.7786,              0.0004595,              0.0004595,              0.0004595
                      6,                 4.3678,                 7.4742,                 4.1741,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7593,                 16.334,                 2.7811,             0.00053311,             0.00053311,             0.00053311
                      7,                 3.7317,                 7.2324,                 4.1475,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7645,                  15.81,                 2.7834,             0.00060508,             0.00060508,             0.00060508
                      8,                  3.929,                 6.6757,                 4.0507,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7763,                 15.239,                 2.7907,             0.00067539,             0.00067539,             0.00067539
                      9,                 3.6982,                 6.4177,                 4.0632,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7839,                 11.011,                 2.7955,             0.00074405,             0.00074405,             0.00074405
                     10,                 3.8493,                 8.3297,                 3.9821,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7932,                 11.354,                 2.8031,             0.00081106,             0.00081106,             0.00081106
                     11,                 3.7487,                 6.2131,                 3.7797,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7958,                 11.916,                  2.808,             0.00087642,             0.00087642,             0.00087642
                     12,                 3.3922,                 7.1986,                 3.7838,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7852,                 11.956,                  2.803,             0.00094013,             0.00094013,             0.00094013
                     13,                 3.4743,                 7.1688,                 3.7316,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7672,                  14.33,                 2.7978,              0.0010022,              0.0010022,              0.0010022
                     14,                  3.393,                 6.7457,                 3.6468,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7651,                 9.8851,                 2.8112,              0.0010626,              0.0010626,              0.0010626
                     15,                 3.6715,                 7.5081,                  3.711,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7566,                 8.7969,                 2.8124,              0.0011214,              0.0011214,              0.0011214
                     16,                 3.3238,                 6.3776,                 3.4427,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7435,                 7.8577,                 2.8005,              0.0011785,              0.0011785,              0.0011785
                     17,                 3.4134,                 6.8589,                 3.5449,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7332,                 8.3513,                 2.7945,              0.0012339,              0.0012339,              0.0012339
                     18,                 3.4364,                 5.5793,                 3.4965,                  4e-05,                0.01667,                  2e-05,                      0,                 2.7133,                 9.7306,                  2.781,              0.0012877,              0.0012877,              0.0012877
                     19,                 3.5355,                 5.5496,                 3.5566,                  4e-05,                0.01667,                  2e-05,                      0,                  2.668,                 11.958,                 2.7618,              0.0013399,              0.0013399,              0.0013399
                     20,                 3.1985,                 5.7449,                 3.5013,                  4e-05,                0.01667,                  2e-05,                      0,                 2.6551,                 11.797,                 2.7498,              0.0013369,              0.0013369,              0.0013369
                     21,                 3.1398,                 5.0081,                 3.2987,                0.00014,                0.03333,                  8e-05,                  3e-05,                 2.6656,                 11.706,                 2.7538,              0.0013369,              0.0013369,              0.0013369
                     22,                 3.2657,                 6.1797,                 3.2747,                0.00021,                   0.05,                0.00206,                0.00023,                 2.6397,                 11.518,                 2.7438,              0.0013204,              0.0013204,              0.0013204
                     23,                 3.3012,                 5.7111,                 3.4415,                0.00032,                0.08333,                0.01493,                 0.0046,                 2.5139,                 11.117,                 2.6384,              0.0013039,              0.0013039,              0.0013039
                     24,                 3.1466,                 5.2909,                  3.462,                0.00036,                    0.1,                  0.022,                0.00455,                 2.3451,                 10.749,                 2.5095,              0.0012874,              0.0012874,              0.0012874
                     25,                 3.4845,                 5.1468,                 3.2409,                0.00059,                   0.15,                0.00953,                0.00203,                 2.2552,                 10.055,                 2.4812,              0.0012709,              0.0012709,              0.0012709
                     26,                 3.3613,                 5.1345,                 3.2421,                0.55283,                0.03333,                0.01008,                0.00201,                 2.2148,                 9.5658,                 2.4577,              0.0012544,              0.0012544,              0.0012544
                     27,                 3.2246,                 5.4833,                 3.1056,                0.87074,                0.01667,                0.02545,                0.00331,                  2.005,                 9.1763,                 2.2862,              0.0012379,              0.0012379,              0.0012379
                     28,                 3.2889,                 6.2392,                 3.0853,                0.00102,                0.28333,                0.02415,                 0.0034,                 1.9954,                 9.2815,                  2.188,              0.0012214,              0.0012214,              0.0012214
                     29,                 3.0133,                 4.8674,                 3.1505,                0.69744,                0.01667,                 0.0371,                 0.0096,                 1.9154,                 9.4124,                 2.1377,              0.0012049,              0.0012049,              0.0012049
                     30,                 3.0237,                 4.8319,                 3.0726,                0.75198,                0.01667,                0.05246,                0.01326,                 1.8265,                  9.926,                 2.1211,              0.0011884,              0.0011884,              0.0011884
                     31,                 2.8986,                 5.1245,                 3.0233,                0.64221,                0.03333,                0.08704,                 0.0284,                 1.8266,                 10.217,                  2.212,              0.0011719,              0.0011719,              0.0011719
                     32,                  2.965,                 4.5077,                 3.0917,                 0.6447,                0.08843,                0.09037,                0.02986,                 1.7716,                 10.135,                 2.2191,              0.0011554,              0.0011554,              0.0011554
                     33,                 2.9732,                 4.9367,                 3.0335,                0.09909,                0.06667,                0.05865,                0.02185,                 1.8123,                 10.162,                 2.2303,              0.0011389,              0.0011389,              0.0011389
                     34,                 3.1021,                 4.6147,                 3.1088,                0.60896,                0.11667,                0.05171,                0.01964,                  1.919,                  11.19,                 2.2559,              0.0011224,              0.0011224,              0.0011224
                     35,                 2.8986,                 4.5708,                 3.0517,                0.58514,                    0.1,                0.04363,                0.01646,                  1.969,                 11.572,                 2.2484,              0.0011059,              0.0011059,              0.0011059
                     36,                 2.9217,                 4.9252,                 3.0476,                0.65017,                0.11667,                0.08012,                0.02452,                 1.8443,                 10.006,                 2.1267,              0.0010894,              0.0010894,              0.0010894
                     37,                 3.0488,                 4.7472,                 2.8976,                0.70666,                   0.15,                0.11877,                0.03874,                 1.8307,                 9.5425,                 2.0483,              0.0010729,              0.0010729,              0.0010729
                     38,                 2.8238,                 4.9456,                 2.9022,                0.69313,                0.11667,                0.11866,                0.04063,                 1.7881,                 8.8636,                 2.0078,              0.0010564,              0.0010564,              0.0010564
                     39,                 2.9942,                 4.5161,                 2.9303,                0.61192,                0.11667,                0.07734,                0.03179,                 1.6685,                 9.1209,                 2.0143,              0.0010399,              0.0010399,              0.0010399
                     40,                 2.7969,                  4.745,                 2.8139,                 0.6308,                0.16667,                0.08695,                0.03397,                 1.6384,                 9.4639,                 1.9991,              0.0010234,              0.0010234,              0.0010234
                     41,                 2.6893,                 4.2187,                 2.8631,                 0.6409,                0.16667,                 0.1129,                0.04524,                 1.6374,                 9.4992,                 1.9187,              0.0010069,              0.0010069,              0.0010069
                     42,                 2.8358,                 4.4648,                 2.7367,                0.70292,                0.13333,                0.12482,                0.04797,                 1.6494,                 9.8098,                 1.8783,             0.00099036,             0.00099036,             0.00099036
                     43,                 2.6005,                 4.6041,                 2.7906,                0.65858,                0.16667,                0.12715,                0.03672,                 1.6795,                 11.032,                  1.826,             0.00097386,             0.00097386,             0.00097386
                     44,                 2.8771,                 4.6748,                 2.7904,                0.65185,                0.13333,                0.13049,                0.04126,                 1.6747,                 10.611,                 1.7867,             0.00095736,             0.00095736,             0.00095736
                     45,                 2.5966,                 4.5606,                 2.9472,                0.69809,                0.11667,                0.15146,                0.05393,                 1.6024,                 10.185,                 1.7332,             0.00094085,             0.00094085,             0.00094085
                     46,                 2.6366,                 4.0851,                 2.7896,                0.68196,                0.10509,                 0.1784,                0.06212,                 1.5709,                 10.267,                 1.7177,             0.00092435,             0.00092435,             0.00092435
                     47,                  2.579,                 3.9247,                 2.8835,                0.66623,                    0.2,                0.17711,                0.05858,                 1.5404,                 10.606,                 1.6947,             0.00090785,             0.00090785,             0.00090785
                     48,                 2.7181,                 4.0216,                 2.7827,                0.64075,                0.27432,                0.17988,                0.05812,                 1.5498,                 10.727,                 1.6867,             0.00089134,             0.00089134,             0.00089134
                     49,                 2.9069,                 4.5799,                 2.5951,                0.68668,                0.16667,                0.19244,                0.06255,                 1.5482,                  10.85,                 1.6976,             0.00087484,             0.00087484,             0.00087484
                     50,                 2.7231,                 3.8135,                 2.8109,                0.80879,                0.11667,                0.18643,                0.06188,                 1.5552,                 10.948,                 1.7004,             0.00085834,             0.00085834,             0.00085834
                     51,                 2.7275,                  3.955,                 2.5821,                0.71573,                0.16452,                0.17351,                0.06144,                  1.479,                 10.496,                 1.6724,             0.00084184,             0.00084184,             0.00084184
                     52,                 2.9054,                 4.1215,                 3.0017,                0.72276,                0.16667,                0.17913,                0.06292,                 1.4565,                 8.7573,                 1.6473,             0.00082533,             0.00082533,             0.00082533
                     53,                 2.6978,                 3.6016,                  2.463,                0.68787,                0.18333,                0.16965,                0.05925,                 1.4534,                 7.6661,                 1.6452,             0.00080883,             0.00080883,             0.00080883
                     54,                 2.8232,                 4.5994,                 2.9339,                0.13433,                0.18333,                0.16584,                 0.0597,                 1.4552,                 6.7739,                 1.6453,             0.00079233,             0.00079233,             0.00079233
                     55,                 2.5479,                  4.222,                 2.4267,                0.17833,                0.11667,                0.17071,                  0.067,                 1.4501,                 6.1315,                 1.6634,             0.00077582,             0.00077582,             0.00077582
                     56,                  2.618,                 3.7516,                 2.6424,                0.18053,                0.16667,                0.17026,                0.06731,                 1.4719,                    5.9,                 1.6673,             0.00075932,             0.00075932,             0.00075932
                     57,                 2.4661,                 3.8912,                 2.8459,                0.21289,                0.16082,                0.19074,                0.06859,                 1.4873,                 5.6287,                 1.6833,             0.00074282,             0.00074282,             0.00074282
                     58,                  2.665,                 3.7272,                 2.7176,                0.17834,                0.16667,                0.17452,                0.06307,                 1.5008,                 5.4746,                 1.7034,             0.00072631,             0.00072631,             0.00072631
                     59,                 2.6402,                 3.6411,                 2.6476,                0.22999,                0.18333,                0.13885,                0.04243,                 1.5978,                  5.993,                 1.7753,             0.00070981,             0.00070981,             0.00070981
                     60,                 2.6229,                 3.7742,                 2.6454,                0.30587,                0.22786,                0.13473,                0.04396,                 1.6249,                 6.4521,                 1.7824,             0.00069331,             0.00069331,             0.00069331
                     61,                  2.597,                 3.5648,                 2.5829,                0.48201,                   0.25,                0.16079,                0.05875,                  1.564,                 6.0647,                 1.7567,              0.0006768,              0.0006768,              0.0006768
                     62,                 2.5794,                 3.2367,                 2.5017,                0.66207,                0.18333,                0.19023,                0.07183,                 1.5115,                 5.3303,                 1.7601,              0.0006603,              0.0006603,              0.0006603
                     63,                 2.5849,                 3.4484,                 2.6425,                0.32005,                0.18333,                0.13435,                0.05357,                  1.533,                 5.1147,                  1.752,              0.0006438,              0.0006438,              0.0006438
                     64,                 2.6796,                 3.6815,                  2.737,                0.19859,                0.23333,                0.13288,                0.04899,                 1.5312,                 5.5752,                 1.6971,             0.00062729,             0.00062729,             0.00062729
                     65,                 2.4099,                 2.9748,                 2.4032,                0.25167,                   0.35,                0.14508,                0.05609,                 1.4736,                 6.6081,                 1.6235,             0.00061079,             0.00061079,             0.00061079
                     66,                 2.6524,                 3.5152,                 2.4433,                0.22829,                0.43333,                0.19699,                0.07091,                 1.4673,                 8.8595,                 1.5904,             0.00059429,             0.00059429,             0.00059429
                     67,                 2.5684,                 4.2956,                 2.5985,                0.26569,                0.36667,                  0.271,                0.09466,                 1.5411,                 10.312,                 1.6325,             0.00057778,             0.00057778,             0.00057778
                     68,                 2.6051,                 3.4186,                 2.7116,                0.36754,                0.32455,                0.29266,                0.11062,                  1.506,                 7.8229,                 1.5974,             0.00056128,             0.00056128,             0.00056128
                     69,                 2.5771,                 3.4493,                 2.4655,                0.46701,                   0.35,                0.35605,                 0.1359,                 1.4484,                 5.6519,                 1.5587,             0.00054478,             0.00054478,             0.00054478
                     70,                  2.524,                 3.4435,                 2.5675,                0.54055,                0.32837,                0.36106,                0.15791,                 1.4212,                 4.8044,                  1.556,             0.00052827,             0.00052827,             0.00052827
                     71,                 2.2104,                 3.0562,                 2.3875,                0.50156,                0.32532,                0.43402,                0.18005,                  1.378,                 4.0968,                  1.557,             0.00051177,             0.00051177,             0.00051177
                     72,                 2.4768,                 3.0915,                 2.4328,                0.54563,                0.38333,                0.42497,                0.17004,                 1.3654,                 4.1575,                 1.5514,             0.00049527,             0.00049527,             0.00049527
                     73,                 2.2793,                 3.0521,                 2.2928,                0.65465,                0.44674,                0.41706,                 0.1627,                 1.3886,                 4.3842,                 1.5607,             0.00047876,             0.00047876,             0.00047876
                     74,                  2.637,                 3.0915,                 2.5157,                0.58393,                0.48333,                0.35885,                0.12541,                 1.4036,                 4.8415,                  1.573,             0.00046226,             0.00046226,             0.00046226
                     75,                 2.6863,                 3.3541,                  2.559,                0.47388,                0.46667,                0.32126,                0.11379,                 1.4266,                 5.5863,                 1.5759,             0.00044576,             0.00044576,             0.00044576
                     76,                 2.4798,                 2.7455,                  2.376,                0.57316,                0.36667,                0.36635,                0.13305,                  1.424,                 5.5382,                 1.5621,             0.00042925,             0.00042925,             0.00042925
                     77,                 2.4515,                 3.0601,                 2.4736,                0.41019,                 0.4236,                0.38272,                0.13988,                 1.4303,                 5.3097,                 1.5395,             0.00041275,             0.00041275,             0.00041275
                     78,                 2.4219,                 2.6618,                 2.3268,                0.41167,                0.45965,                0.40955,                0.16215,                 1.4429,                 5.0393,                 1.5206,             0.00039625,             0.00039625,             0.00039625
                     79,                  2.421,                 2.8784,                 2.3295,                0.38708,                0.48333,                0.41086,                0.16584,                 1.4389,                 4.8647,                 1.5053,             0.00037974,             0.00037974,             0.00037974
                     80,                 2.6341,                 3.0851,                 2.5913,                0.45238,                  0.465,                0.46419,                0.19706,                  1.396,                 4.6169,                 1.4872,             0.00036324,             0.00036324,             0.00036324
                     81,                 2.5936,                 2.9918,                 2.5383,                0.47342,                 0.5255,                0.48079,                0.22148,                 1.3672,                 4.5434,                 1.4818,             0.00034674,             0.00034674,             0.00034674
                     82,                 2.3985,                 2.8062,                 2.4338,                0.48987,                0.51667,                0.50257,                0.23318,                  1.347,                 4.5287,                 1.4753,             0.00033023,             0.00033023,             0.00033023
                     83,                 2.5325,                 2.9081,                 2.3398,                0.46579,                0.47114,                0.43986,                0.20274,                 1.3122,                 4.5659,                  1.464,             0.00031373,             0.00031373,             0.00031373
                     84,                 2.2821,                 2.6766,                 2.2871,                0.49065,                0.50436,                0.46256,                0.21771,                 1.3093,                 4.9376,                 1.4598,             0.00029723,             0.00029723,             0.00029723
                     85,                 2.3944,                 2.8441,                 2.3493,                0.46167,                0.56667,                0.47018,                0.21605,                 1.3123,                 5.4003,                  1.458,             0.00028072,             0.00028072,             0.00028072
                     86,                 2.3217,                 2.8371,                 2.3987,                0.49837,                  0.528,                 0.4916,                 0.2147,                 1.3119,                  5.453,                 1.4531,             0.00026422,             0.00026422,             0.00026422
                     87,                 2.2896,                 2.8629,                 2.3381,                0.62702,                0.47044,                0.53777,                 0.2375,                 1.3256,                 5.3908,                 1.4586,             0.00024772,             0.00024772,             0.00024772
                     88,                 2.2543,                 2.7599,                 2.2887,                0.66471,                0.47854,                0.55114,                 0.2379,                 1.3295,                  5.123,                 1.4644,             0.00023121,             0.00023121,             0.00023121
                     89,                 2.2923,                 2.6129,                 2.4003,                0.52104,                0.52029,                0.52709,                0.23309,                 1.3209,                 4.8242,                  1.458,             0.00021471,             0.00021471,             0.00021471
                     90,                 2.3655,                 2.8478,                 2.3663,                0.56847,                0.52689,                0.54625,                0.24732,                 1.3155,                 4.6517,                 1.4554,             0.00019821,             0.00019821,             0.00019821
                     91,                 2.3725,                 3.0118,                 2.3809,                0.55912,                   0.55,                0.56446,                 0.2558,                 1.3044,                 4.4989,                 1.4521,              0.0001817,              0.0001817,              0.0001817
                     92,                 2.4265,                 2.7069,                 2.3536,                0.53723,                   0.55,                0.56849,                0.26067,                 1.3016,                 4.4934,                 1.4487,              0.0001652,              0.0001652,              0.0001652
                     93,                 2.4409,                 2.5903,                 2.3953,                0.52088,                0.56667,                0.57197,                  0.261,                 1.3023,                 4.5818,                 1.4441,              0.0001487,              0.0001487,              0.0001487
                     94,                 2.3299,                 2.5152,                  2.255,                0.51471,                 0.5928,                0.57213,                0.26403,                 1.3012,                 4.6478,                 1.4417,             0.00013219,             0.00013219,             0.00013219
                     95,                 2.1467,                 2.6361,                 2.3337,                0.57072,                0.51667,                0.58943,                0.26613,                 1.3017,                 4.7098,                 1.4322,             0.00011569,             0.00011569,             0.00011569
                     96,                 2.1913,                 2.3928,                 2.1215,                0.57742,                0.52249,                0.59199,                0.26051,                 1.3014,                 4.7687,                 1.4296,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                  2.271,                 2.5182,                 2.3727,                0.58437,                0.55985,                0.60303,                0.26153,                 1.2978,                 4.8792,                 1.4242,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 2.4455,                 2.9311,                 2.5174,                0.62242,                0.64546,                0.61835,                0.25721,                 1.3018,                 5.0156,                 1.4227,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 2.3225,                 2.9133,                 2.3254,                0.61813,                0.61667,                0.61892,                0.25245,                 1.3126,                 5.2201,                 1.4188,             4.9677e-05,             4.9677e-05,             4.9677e-05
